순번,등록번호,제호,기관명,상태,종별,간별,성격,유형,발행목적,발행내용,보급방법,보급지역,선택지역,상세지역,유무가,보급대상,사용언어,발행소명,발행소 주소,인쇄소명,복수여부,등록일자,제출일자
24542,가00018,더데일리코리아,영등포,등록,전자간행물,일간,총류,개인,"정치, 경제, 사회, 산업 등 전체 또는 특정분야에 관한 정보 등을 전파하기 위함",상기 발행 목적에 맞게 웹사이트에 전자파일의 등록 또는 USB(Universal Serial Bus)에 저장하여 발행,,전국,,,무가,,,배현주(더데일리코리아),"서울 영등포구 영등포로86가길 16-1, 1층 (신길동)",해당없음,단건,2024-05-24,2024-05-17
24541,아55807,더에듀,서울,등록,인터넷신문,인터넷신문,총류,법인,"1. 교육 정책이나 현안에 대한 심층적인 보도 및 논평을 통해 사회적 논의를 촉진하고, 교육 문제 해결에 기여함. 2. 교육 관련 종사자들의 전문성을 향상시키고, 정보 공유 활성화. 3. 교육 정보의 접근성을 높이고, 교육 문제에 대한 사회적 관심을 증진시키는 역할을 하고자 함.",,,전국,,,무가,일반국민,,(주)더미디어그룹,"서울 금천구 가산디지털2로 95, 1008호 (가산동, KM TOWER)",,단건,2024-05-24,2024-05-21
24540,아55438,데일리성북,서울,등록,인터넷신문,인터넷신문,총류,개인,서울 성북구에서 취재되는 소식을 인터넷으로 실시간 보급해 지역공동체 활성화에 기여,"서울 성북구 정책 보도자료를 포함, 성북구 시민, 단체의 소식을 섹션별로 제공 △지방자치 정책  △역사 문화 예술  △보육 교육   △경제 건강  △기획 분석 등",,지역,,,무가,서울시 성북구 시민,,이옥실(데일리성북),"서울 성북구 길음동 1070-30, 305호",,단건,2024-05-24,2024-05-24
24539,아00555,로리타레거시코리아,부산,등록,인터넷신문,인터넷신문,총류,법인,필라테스 종사자들의 알 권리 진작 및 마케팅에 필요한 유용한 뉴스 콘텐츠 및 교육 콘텐츠를 제공하고 관련산업 전반에 대한 이슈를 점검하고 대안 제시와 함께 동반성장하는 인프라 구축에 기여하고자 함.,상기 발행목적에 부합되는 내용만을 게재함.,,전국,,,무가,,,㈜로리타레거시코리아,"부산 동래구 아시아드대로154번길 63 (사직동, 탭 필라테스) 3층",,단건,2024-05-24,2024-05-20
24538,아55448,엔라이튼,서울,등록,인터넷신문,인터넷신문,총류,개인,교육 관련 뉴스 제공,교육 관련 뉴스 및 정보 공유,,전국,,,무가,일반국민,,박정환(엔라이튼),"서울 강남구 신사동 566-6, 2층",,단건,2024-05-24,2024-05-24
24537,아54077,위드맘일보,경기,등록,인터넷신문,인터넷신문,총류,법인,"산모·신생아건강관리사 관련정보, 직업정보, 평생교육정보, 기타 관련정보",상기 내용과 부합함,,전국,,,무가,,,주식회사 위드맘케어,"경기 안양시 동안구 시민대로 230 (관양동, 평촌아크로타워), 에이동 401호",,단건,2024-05-24,2024-05-22
24536,아55443,이슈앤,서울,등록,인터넷신문,인터넷신문,총류,개인,"정치, 경제, 사회 등 우리 사회 제현상에 대한 올바른 정보 제공 및 삶의 가치 존중 구현에 이바지하고자 함",상기 발행 목적에 부합되는 내용만을 게재함,,전국,,,무가,,,전정웅(이슈앤),"서울 영등포구 국회대로70길 15-1, 535호 (여의도동, 극동브이아이피빌딩)",,단건,2024-05-24,2024-05-24
24535,아54073,인덕원엔젤뉴스,경기,등록,인터넷신문,인터넷신문,총류,개인,"요양보호사 관련정보, 직업정보, 평생교육정보, 기타 관련정보",상기 내용과 부합함,,전국,,,무가,,,김경미(인덕원엔젤뉴스),"경기 안양시 동안구 흥안대로 522 (관양동), 4층",,단건,2024-05-24,2024-05-17
24534,아54074,정론타임즈,경기,등록,인터넷신문,인터넷신문,총류,개인,"일반 국민을 대상으로 문화, 종교, 교육, 경제, 사회 등의 정보를 제공하여 국민의 알권리를 신장시키는 것을 목적으로 함.",상기 발행목적에 부합되는 내용만을 게재함.,,전국,,,무가,,,김학중(정론타임즈),"경기 안산시 상록구 용신로 128 (사동, GP빌딩), 4층",,단건,2024-05-24,2024-05-21
24533,아00792,채널한국,경북,등록,인터넷신문,인터넷신문,총류,개인,"정확한 정보를 바탕으로 진실을 신속, 정확, 자유롭게 보도하며 다양한 장르의 소리를 전달해 국민문화 활성화에 이바지한다.","새로운 사회의 소식을 생산해 국민에게 전달하고 국민의 다양한 의견을 수용, 공유해 신뢰성 있는 뉴스를 제공한다.",,전국,,,무가,독자 및 전국민,,채널한국,"경북 구미시 형곡서로 24 (형곡동), 302호",,단건,2024-05-24,2024-05-21
24532,아55442,크리에이티브뉴스투데이,서울,등록,인터넷신문,인터넷신문,총류,법인,"일반인을 대상으로 소셜 네트워크, 디지털 플랫폼, 사회, 문화, 교육, 연예 등 정보를 제공하여 국민의 알권리에 도움을 주는 것을 목적으로 함",상기 발행 목적에 부합되는 내용만을 게재함,,전국,,,무가,네티즌,,주식회사 로프트아일랜드(지점 2관),"서울 송파구 가락로 248, 4층 402호 (방이동, 에스엠 빌딩)",,단건,2024-05-24,2024-05-24
